ID;name;number_species;number_reactions;number_SORs;number_SOR_O;number_SOR_DO_only;number_DO;number_Os;max_MRC;comp2;comp3;comp4;comp5;comp6;timer_MRC;reaction_orders;Timer_ERC;Timer_LP;Timer_LP_DO1;number_constr;time_complete
BIOMD0000000001.xml;Edelstein1996 - EPSP ACh event;12;34;2;2;0;2;2;0;0;0;0;0;0;0;[0, 34, 0, 0, 0, 0, 0, 0, 0];0;0,004999876;0,003999949;130;0,029421806
BIOMD0000000002.xml;Edelstein1996 - EPSP ACh species;13;34;3;3;0;5;4;0;0;0;0;0;0;0;[0, 26, 8, 0, 0, 0, 0, 0, 0];0;0,006999969;0,007000208;133;0,033498049
BIOMD0000000003.xml;Goldbeter1991 - Min Mit Oscil;3;7;1;1;0;1;1;0;0;0;0;0;0;0;[3, 4, 0, 0, 0, 0, 0, 0, 0];0;0,003000021;0,002000093;27;0,010006428
BIOMD0000000004.xml;Goldbeter1991 - Min Mit Oscil, Expl Inact;5;7;4;4;0;4;4;0;0;0;0;0;0;0;[1, 6, 0, 0, 0, 0, 0, 0, 0];0;0,003999949;0,003999949;27;0,01269269
BIOMD0000000005.xml;Tyson1991 - Cell Cycle 6 var;9;9;5;4;1;20;16;2;1;0;0;0;0;0,002000332;[0, 8, 1, 0, 0, 0, 0, 0, 0];0;0,004999876;0,004999876;39;0,020477772
BIOMD0000000006.xml;Tyson1991 - Cell Cycle 2 var;4;3;2;2;0;4;4;0;0;0;0;0;0;0;[0, 3, 0, 0, 0, 0, 0, 0, 0];0;0,003999949;0,003999949;13;0,014566422
BIOMD0000000007.xml;Novak1997 - Cell Cycle;22;34;128;32;96;4096;1024;2;96;0;0;0;0;0,179841518;[3, 28, 3, 0, 0, 0, 0, 0, 0];0;0,006000042;0,072999954;137;2,175476789
BIOMD0000000008.xml;Gardner1998 - Cell Cycle Goldbeter;5;13;2;1;1;2;1;2;1;0;0;0;0;0,003090858;[4, 8, 1, 0, 0, 0, 0, 0, 0];0;0,006000042;0,003999949;51;0,019505024
BIOMD0000000009.xml;Huang1996 - Ultrasensitivity in MAPK cascade;26;30;8;8;0;50000;2358;0;0;0;0;0;0;0;[0, 20, 10, 0, 0, 0, 0, 0, 0];0;0,006999969;12,42799997;120;32,31651783
BIOMD0000000010.xml;Kholodenko2000 - Ultrasensitivity and negative feedback bring oscillations in MAPK cascade;8;10;8;8;0;8;8;0;0;0;0;0;0;0;[0, 10, 0, 0, 0, 0, 0, 0, 0];0;0,006000042;0,004000187;40;0,017526627
BIOMD0000000011.xml;Levchenko2000_MAPK_noScaffold;22;30;8;8;0;4641;568;0;0;0;0;0;0;0,000998497;[0, 20, 10, 0, 0, 0, 0, 0, 0];0;0,005000114;0,121000051;116;1,876347303
BIOMD0000000012.xml;Elowitz2000 - Repressilator;6;12;1;1;0;1;1;0;0;0;0;0;0;0;[6, 6, 0, 0, 0, 0, 0, 0, 0];0;0,003999949;0,003000021;48;0,011651993
BIOMD0000000013.xml;Poolman2004_CalvinCycle;27;30;3;3;0;44223;2104;0;0;0;0;0;0;0;[0, 14, 15, 1, 0, 0, 0, 0, 0];0;0,00999999;16,28399992;125;36,80087137
BIOMD0000000014.xml;Levchenko2000_MAPK_Scaffold;86;300;50000;2;49998;50000;1;12;4;32;42;23;20;timeout;[0, 170, 130, 0, 0, 0, 0, 0, 0];0,234375;32,09699988;26,16699982;1321;513,0107036
BIOMD0000000015.xml;Curto1998 - purine metabolism;18;37;1;1;0;2;2;0;0;0;0;0;0;0;[0, 34, 3, 0, 0, 0, 0, 0, 0];0;0,007999897;0,013000011;150;0,040352583
BIOMD0000000016.xml;Goldbeter1995_CircClock;7;10;2;2;0;4;4;0;0;0;0;0;0;0;[0, 10, 0, 0, 0, 0, 0, 0, 0];0;0,003999949;0,002999783;41;0,015677929
BIOMD0000000017.xml;Hoefnagel2002_PyruvateBranches;19;14;1;1;0;32768;9856;0;0;0;0;0;0;0;[0, 5, 7, 2, 0, 0, 0, 0, 0];0;0,003000021;5,144000053;61;12,46070409
BIOMD0000000018.xml;Morrison1989 - Folate Cycle;33;47;1;1;0;50000;849;0;0;0;0;0;0;0;[2, 30, 14, 1, 0, 0, 0, 0, 0];0;0,005000114;10,9829998;187;39,93005729
BIOMD0000000019.xml;Schoeberl2002 - EGF MAPK;100;242;1024;218;806;50000;2610;21;630;176;0;0;0;6,609981298;[1, 141, 100, 0, 0, 0, 0, 0, 0];0,1875;0,051999807;29,80100012;1189;180,205436
BIOMD0000000020.xml;hodgkin-huxley squid-axon 1952;;;1;1;0;;;;;;;;;;[0, 0, 0, 0, 0, 0, 0, 0, 0];;;;;
BIOMD0000000021.xml;Leloup1999_CircClock;10;26;2;1;1;2;1;2;1;0;0;0;0;0,003000259;[4, 21, 1, 0, 0, 0, 0, 0, 0];0;0,003999949;0,003999949;108;0,022592068
BIOMD0000000022.xml;Ueda2001_CircClock;13;34;1;1;0;4;4;0;0;0;0;0;0;0;[0, 32, 2, 0, 0, 0, 0, 0, 0];0;0,006000042;0,008000135;143;0,030234814
BIOMD0000000023.xml;Rohwer2001_Sucrose;13;21;8;7;1;92;38;2;1;0;0;0;0;0,00155735;[0, 11, 10, 0, 0, 0, 0, 0, 0];0;0,005999804;0,004999876;89;0,046986818
BIOMD0000000024.xml;Scheper1999_CircClock;3;4;2;2;0;2;2;0;0;0;0;0;0;0;[0, 4, 0, 0, 0, 0, 0, 0, 0];0;0,003999949;0,003000021;16;0,013002396
BIOMD0000000025.xml;Smolen2002_CircClock;4;4;2;2;0;4;4;0;0;0;0;0;0;0;[0, 4, 0, 0, 0, 0, 0, 0, 0];0;0,004999876;0,003999949;17;0,013003826
BIOMD0000000026.xml;Markevich2004_MAPK_orderedElementary;11;16;3;3;0;41;14;0;0;0;0;0;0;0;[0, 10, 6, 0, 0, 0, 0, 0, 0];0;0,004999876;0,004999876;63;0,026280403
BIOMD0000000027.xml;Markevich2004 - MAPK double phosphorylation,  ordered Michaelis-Menton;5;4;2;2;0;8;8;0;0;0;0;0;0;0;[0, 4, 0, 0, 0, 0, 0, 0, 0];0;0,003999949;0,003999949;18;0,012330055
BIOMD0000000028.xml;Markevich2004_MAPK_phosphoRandomElementary;16;27;4;3;1;82;22;3;1;0;0;0;0;0,002999067;[0, 17, 10, 0, 0, 0, 0, 0, 0];0;0,006999969;0,007000208;107;0,054079056
BIOMD0000000029.xml;Markevich2004_MAPK_phosphoRandomMM;6;7;2;2;0;8;8;0;0;0;0;0;0;0,001001358;[0, 7, 0, 0, 0, 0, 0, 0, 0];0;0,003999949;0,004000187;29;0,014602661
BIOMD0000000030.xml;Markevich2004_MAPK_AllRandomElementary;18;32;3;3;0;81;22;0;0;0;0;0;0;0;[0, 20, 12, 0, 0, 0, 0, 0, 0];0;0,007000208;0,008999825;128;0,058995008
BIOMD0000000031.xml;Markevich2004_MAPK_orderedMM2kinases;6;4;2;2;0;16;16;0;0;0;0;0;0;0;[0, 4, 0, 0, 0, 0, 0, 0, 0];0;0,005000114;0,003999949;19;0,014662027
BIOMD0000000032.xml;Kofahl2004_PheromonePathway;37;69;750;260;490;10352;2048;8;454;36;0;0;0;1,517247438;[2, 49, 12, 0, 1, 1, 4, 0, 0];0;0,01699996;0,385999918;283;10,73467112
BIOMD0000000033.xml;Brown2004 - NGF and EGF signaling;32;30;8192;8192;0;50000;28959;0;0;0;0;0;0;0,123710394;[0, 28, 2, 0, 0, 0, 0, 0, 0];0;0,217000008;17,375;122;44,08762383
BIOMD0000000034.xml;Smolen2004_CircClock;9;22;1;1;0;1;1;0;0;0;0;0;0;0;[4, 18, 0, 0, 0, 0, 0, 0, 0];0;0,003000021;0,003000021;94;0,013987303
BIOMD0000000035.xml;Vilar2002_Oscillator;10;16;6;4;2;7;5;2;2;0;0;0;0;0,003994703;[0, 13, 3, 0, 0, 0, 0, 0, 0];0;0,004999876;0,005000114;64;0,023001432
BIOMD0000000036.xml;Tyson1999_CircClock;3;5;2;2;0;2;2;0;0;0;0;0;0;0;[0, 5, 0, 0, 0, 0, 0, 0, 0];0;0,003999949;0,003000021;19;0,011002302
BIOMD0000000037.xml;Marwan2003 - Genetics, regulatory hierarchy between genes;12;12;2;2;0;32;24;0;0;0;0;0;0;0;[2, 9, 1, 0, 0, 0, 0, 0, 0];0;0,003999949;0,003999949;49;0,019672155
BIOMD0000000038.xml;Rohwer2000_Phosphotransferase_System;17;20;32;21;11;5813;568;14;11;0;0;0;0;0,022664547;[0, 10, 10, 0, 0, 0, 0, 0, 0];0;0,006000042;0,141000032;82;1,720695019
BIOMD0000000039.xml;Marhl2000_CaOscillations;5;7;3;3;0;5;4;0;0;0;0;0;0;0;[0, 6, 1, 0, 0, 0, 0, 0, 0];0;0,003999949;0,003999949;28;0,012571812
BIOMD0000000040.xml;Field1974_Oregonator;5;5;1;1;0;8;6;0;0;0;0;0;0;0;[0, 2, 3, 0, 0, 0, 0, 0, 0];0;0,001999855;0,003000021;21;0,009903908
BIOMD0000000041.xml;Kongas2007 - Creatine Kinase in energy metabolic signaling in muscle;10;17;21;12;9;20;12;3;9;0;0;0;0;0,013957024;[0, 12, 5, 0, 0, 0, 0, 0, 0];0;0,005000114;0,004999876;68;0,039516449
